fecha|contenido
Sat Dec 22 08:50:12 COT 2018|#SISMO ID: igepn2018yzqw Preliminar 2018-12-22 08:46:40 TL Magnitud:4.21 Profundidad: 52.82 km, a 11.33km de Zaruma,El Oro,Latitud: -3.6036 Longitud:-79.5528 Sintio este sismo? Reportelo! en https://t.co/cZ67251Hbg https://t.co/1ZCSPS6fjw
Thu Dec 20 11:05:09 COT 2018|#SISMO ID: igepn2018yweg Revisado 2018-12-20 11:00:14 TL Magnitud:3.78 Profundidad: 86.85 km, a 6.02km de La Mana,Cotopaxi,Latitud: -0.9255 Longitud:-79.2834 Sintio este sismo? Reportelo! en https://t.co/gdjvIsOBlR https://t.co/wiOIfmOikH
Thu Dec 20 11:03:21 COT 2018|#SISMO ID: igepn2018yweg Preliminar 2018-12-20 11:00:14 TL Magnitud:3.66 Profundidad: 84.06 km, a 5.10km de La Mana,Cotopaxi,Latitud: -0.9306 Longitud:-79.2762 Sintio este sismo? Reportelo! en https://t.co/gdjvIsOBlR https://t.co/9S8R1H5cwy
Wed Dec 19 16:57:39 COT 2018|#SISMO ID: igepn2018yuui Revisado 2018-12-19 16:51:24 TL Magnitud:3.51 Profundidad: 80.74 km, a 30.64km de Sucua,Morona Santiago,Latitud: -2.7181 Longitud:-78.2546 Sintio este sismo? Reportelo! en https://t.co/mF7SBtY4va https://t.co/yUSMsoiDi6
Wed Dec 19 16:53:31 COT 2018|#SISMO ID: igepn2018yuui Preliminar 2018-12-19 16:51:23 TL Magnitud:3.71 Profundidad: 84.74 km, a 36.02km de Sucua,Morona Santiago,Latitud: -2.7629 Longitud:-78.2732 Sintio este sismo? Reportelo! en https://t.co/mF7SBtY4va https://t.co/JLIGlgWtDM
Tue Dec 18 23:23:19 COT 2018|#SISMO ID: igepn2018ytlm Revisado 2018-12-18 23:14:45 TL Magnitud:3.54 Profundidad: 2.95 km, a 7.28km de Portoviejo,Manabi,Latitud: -1.0050 Longitud:-80.4099 Sintio este sismo? Reportelo! en https://t.co/3R02P9vEOM https://t.co/CmHZGGBQHs
Tue Dec 18 23:18:17 COT 2018|#SISMO ID: igepn2018ytlm Preliminar 2018-12-18 23:14:46 TL Magnitud:3.51 Profundidad: 10.00 km, a 7.32km de Rocafuerte,Manabi,Latitud: -0.9722 Longitud:-80.4966 Sintio este sismo? Reportelo! en https://t.co/3R02P9vEOM https://t.co/dv3YW164PN
Sun Dec 16 10:21:39 COT 2018|#SISMO ID: igepn2018youp Revisado 2018-12-16 10:15:27 TL Magnitud:3.57 Profundidad: 10.00 km, a 8.57km de Balao,Guayas,Latitud: -2.8632 Longitud:-79.7653 Sintio este sismo? Reportelo! en https://t.co/Qa22dAbNtW https://t.co/lStuvfEjQj
Sat Dec 15 16:16:39 COT 2018|#SISMO ID: igepn2018ynla Revisado 2018-12-15 16:11:39 TL Magnitud:4.97 Profundidad: 4.48 km, a 28.94km de Quininde,Esmeraldas,Latitud: 0.2680 Longitud:-79.2114 Sintio este sismo? Reportelo! en https://t.co/rWCvTPmuEp https://t.co/3d7Y0lWVp2
Sat Dec 15 16:13:50 COT 2018|#SISMO ID: igepn2018ynla Preliminar 2018-12-15 16:11:40 TL Magnitud:5.20 Profundidad: 8.34 km, a 30.57km de Quininde,Esmeraldas,Latitud: 0.2604 Longitud:-79.1980 Sintio este sismo? Reportelo! en https://t.co/rWCvTPmuEp https://t.co/R4BftDGvzs
Fri Dec 14 15:13:30 COT 2018|#SISMO ID: igepn2018ylnb Revisado 2018-12-14 14:57:35 TL Magnitud:2.95 Profundidad: 1.29 km, a 9.68km de San Gabriel,Carchi,Latitud: 0.6817 Longitud:-77.8343 Sintio este sismo? Reportelo! en https://t.co/V2kgikRPIL https://t.co/s2oOuLiCib
Mon Dec 10 13:50:19 COT 2018|#SISMO ID: igepn2018yecr Revisado 2018-12-10 13:44:58 TL Magnitud:3.62 Profundidad: 5.00 km, a 5.80km de Caluma,Bolivar,Latitud: -1.5837 Longitud:-79.2363 Sintio este sismo? Reportelo! en https://t.co/ob19NtqCK4 https://t.co/R7QarVvHff
Mon Dec 10 13:47:00 COT 2018|#SISMO ID: igepn2018yecr Preliminar 2018-12-10 13:44:58 TL Magnitud:4.05 Profundidad: 5.00 km, a 5.83km de Caluma,Bolivar,Latitud: -1.6299 Longitud:-79.2054 Sintio este sismo? Reportelo! en https://t.co/ob19NtqCK4 https://t.co/dHTJUOGNSG
Sat Dec 08 08:06:18 COT 2018|#SISMO ID: igepn2018yaad Revisado 2018-12-08 07:55:27 TL Magnitud:3.58 Profundidad: 2.00 km, a 11.30km de Portoviejo,Manabi,Latitud: -1.0057 Longitud:-80.5415 Sintio este sismo? Reportelo! en https://t.co/pgk1hpK4KD https://t.co/dV7U4oi3Bw
Sat Dec 08 07:58:42 COT 2018|#SISMO ID: igepn2018yaad Preliminar 2018-12-08 07:55:28 TL Magnitud:3.71 Profundidad: 10.00 km, a 7.59km de Jaramijo,Manabi,Latitud: -1.0104 Longitud:-80.5972 Sintio este sismo? Reportelo! en https://t.co/pgk1hpK4KD https://t.co/WYLdPiqqu6
Sat Dec 08 04:25:10 COT 2018|#SISMO ID: igepn2018xzta Revisado 2018-12-08 04:20:12 TL Magnitud:4.14 Profundidad: 63.51 km, a 14.26km de Catamayo,Loja,Latitud: -3.8767 Longitud:-79.4175 Sintio este sismo? Reportelo! en https://t.co/PVd6QhapDd https://t.co/DGq2x9inug
Sat Dec 08 04:23:00 COT 2018|#SISMO ID: igepn2018xzta Preliminar 2018-12-08 04:20:13 TL Magnitud:4.18 Profundidad: 47.12 km, a 14.62km de Catamayo,Loja,Latitud: -3.8650 Longitud:-79.4002 Sintio este sismo? Reportelo! en https://t.co/PVd6QhapDd https://t.co/eODhGWrZrQ
Fri Dec 07 22:54:59 COT 2018|#SISMO ID: igepn2018xzia Revisado 2018-12-07 22:46:17 TL Magnitud:3.46 Profundidad: 2.82 km, a 19.74km de Balao,Guayas,Latitud: -2.8985 Longitud:-79.5230 Sintio este sismo? Reportelo! en https://t.co/05gVE9HmqB https://t.co/JxLq710u79
Wed Dec 05 11:07:08 COT 2018|#SISMO ID: igepn2018xutt Revisado 2018-12-05 11:01:29 TL Magnitud:3.54 Profundidad: 14.82 km, a 10.94km de Pajan,Manabi,Latitud: -1.5212 Longitud:-80.5204 Sintio este sismo? Reportelo! en https://t.co/fxnVImtvRj https://t.co/5Hg8ktyIJI
Thu Nov 29 22:12:29 COT 2018|#SISMO ID: igepn2018xkpt Revisado 2018-11-29 21:41:56 TL Magnitud:3.07 Profundidad: 2.64 km, a 7.71km de Montecristi,Manabi,Latitud: -1.0415 Longitud:-80.7268 Sintio este sismo? Reportelo! en https://t.co/AlsuS5Y1lu https://t.co/pl7ISS5a9O
Thu Nov 29 14:33:59 COT 2018|#SISMO ID: igepn2018xkbp Revisado 2018-11-29 14:29:29 TL Magnitud:3.56 Profundidad: 10.00 km, a 103.75km de Jama,Manabi,Latitud: -0.0194 Longitud:-81.1782 Sintio este sismo? Reportelo! en https://t.co/afYAGSmfsG https://t.co/tphLIsmFl0
Sat Nov 24 13:31:29 COT 2018|#SISMO ID: igepn2018xavy Revisado 2018-11-24 13:25:01 TL Magnitud:3.91 Profundidad: 23.95 km, a 9.97km de Arenillas,El Oro,Latitud: -3.4925 Longitud:-80.1288 Sintio este sismo? Reportelo! en https://t.co/gQy8SK2sdH https://t.co/cGvJKjK7Dg
Sat Nov 24 13:27:22 COT 2018|#SISMO ID: igepn2018xavy Preliminar 2018-11-24 13:25:01 TL Magnitud:3.95 Profundidad: 28.50 km, a 10.90km de Huaquillas,El Oro,Latitud: -3.5570 Longitud:-80.1666 Sintio este sismo? Reportelo! en https://t.co/gQy8SK2sdH https://t.co/XcmBrENMTo
Sun Nov 18 04:47:58 COT 2018|#SISMO ID: igepn2018wpfp Revisado 2018-11-18 04:39:14 TL Magnitud:3.76 Profundidad: 10.00 km, a 47.88km de Macas,Morona Santiago,Latitud: -1.9943 Longitud:-77.8184 Sintio este sismo? Reportelo! en https://t.co/al0jKnP5NC https://t.co/yFTHZRm9GW
Sat Nov 17 15:01:24 COT 2018|#SISMO ID: igepn2018woej Revisado 2018-11-17 14:54:23 TL Magnitud:3.69 Profundidad: 7.07 km, a 24.27km de Playas,Guayas,Latitud: -2.8277 Longitud:-80.4787 Sintio este sismo? Reportelo! en https://t.co/T2ev4djmu2 https://t.co/bazPm5veCC
Sat Nov 17 14:56:41 COT 2018|#SISMO ID: igepn2018woej Preliminar 2018-11-17 14:54:23 TL Magnitud:3.83 Profundidad: 10.00 km, a 29.96km de Playas,Guayas,Latitud: -2.8566 Longitud:-80.5331 Sintio este sismo? Reportelo! en https://t.co/T2ev4djmu2 https://t.co/Bjt1QjoXRm
Sat Nov 17 08:01:18 COT 2018|#SISMO ID: igepn2018wnqo Revisado 2018-11-17 07:55:32 TL Magnitud:5.45 Profundidad: 4.70 km, a 42.90km de Salinas,Santa Elena,Latitud: -2.5764 Longitud:-81.1140 Sintio este sismo? Reportelo! en https://t.co/oWtjZppd4h https://t.co/z9puKazC8V
Sat Nov 17 07:58:59 COT 2018|#SISMO ID: igepn2018wnqo Preliminar 2018-11-17 07:55:35 TL Magnitud:5.06 Profundidad: 10.00 km, a 34.71km de La Libertad,Santa Elena,Latitud: -2.5398 Longitud:-80.8580 Sintio este sismo? Reportelo! en https://t.co/oWtjZppd4h https://t.co/sv1trzmz0V
Tue Nov 13 05:15:54 COT 2018|#SISMO ID: igepn2018wgdc Revisado 2018-11-13 05:10:34 TL Magnitud:4.00 Profundidad: 70.10 km, a 12.02km de Portovelo,El Oro,Latitud: -3.7715 Longitud:-79.5172 Sintio este sismo? Reportelo! en https://t.co/JUJBSo6Ikp https://t.co/0h6s35KbBG
Tue Nov 13 05:12:36 COT 2018|#SISMO ID: igepn2018wgdc Preliminar 2018-11-13 05:10:35 TL Magnitud:3.73 Profundidad: 58.06 km, a 3.82km de Portovelo,El Oro,Latitud: -3.7511 Longitud:-79.6048 Sintio este sismo? Reportelo! en https://t.co/JUJBSo6Ikp https://t.co/PVEazadTfE
Fri Nov 09 08:10:15 COT 2018|#SISMO ID: igepn2018vzau Revisado 2018-11-09 08:03:39 TL Magnitud:3.70 Profundidad: 0.00 km, a 35.79km de Sucua,Morona Santiago,Latitud: -2.7764 Longitud:-78.1314 Sintio este sismo? Reportelo! en https://t.co/wKPF1AZqjY https://t.co/gChZy8Uljw
Fri Nov 09 08:06:27 COT 2018|#SISMO ID: igepn2018vzau Preliminar 2018-11-09 08:03:41 TL Magnitud:3.63 Profundidad: 10.00 km, a 42.71km de Sucua,Morona Santiago,Latitud: -2.8404 Longitud:-78.1811 Sintio este sismo? Reportelo! en https://t.co/wKPF1AZqjY https://t.co/FWS4ye8lCU
Thu Nov 08 01:09:47 COT 2018|#SISMO ID: igepn2018vwrg Revisado 2018-11-08 00:57:53 TL Magnitud:2.62 Profundidad: 1.37 km, a 9.95km de San Gabriel,Carchi,Latitud: 0.6838 Longitud:-77.8379 Sintio este sismo? Reportelo! en https://t.co/HAWVb6RHz2 https://t.co/gmtxo8ldu3
Wed Nov 07 01:32:59 COT 2018|#SISMO ID: igepn2018vuwt Revisado 2018-11-07 01:27:19 TL Magnitud:4.00 Profundidad: 10.00 km, a 82.47km de Cariamanga,Loja,Latitud: -4.8109 Longitud:-78.9923 Sintio este sismo? Reportelo! en https://t.co/LtRI20hS9z https://t.co/e251tbsejz
Mon Nov 05 09:52:15 COT 2018|#SISMO ID: igepn2018vrwd Revisado 2018-11-05 09:44:42 TL Magnitud:3.54 Profundidad: 2.78 km, a 70.73km de Gualaquiza,Morona Santiago,Latitud: -3.1095 Longitud:-78.0085 Sintio este sismo? Reportelo! en https://t.co/o9Cx2AHLTe https://t.co/i7IuTWrPKq
Mon Nov 05 09:47:07 COT 2018|#SISMO ID: igepn2018vrwd Preliminar 2018-11-05 09:44:44 TL Magnitud:3.54 Profundidad: 10.00 km, a 65.03km de Gualaquiza,Morona Santiago,Latitud: -3.1249 Longitud:-78.0585 Sintio este sismo? Reportelo! en https://t.co/o9Cx2AHLTe https://t.co/CKuc1mCgzz
Mon Nov 05 03:51:16 COT 2018|#SISMO ID: igepn2018vrkj Preliminar 2018-11-05 03:48:29 TL Magnitud:4.15 Profundidad: 10.00 km, a 100.52km de San Lorenzo,Esmeraldas,Latitud: 1.9583 Longitud:-79.4291 Sintio este sismo? Reportelo! en https://t.co/Te0Bb2E511 https://t.co/suqEjCYMLV
Thu Nov 01 14:36:45 COT 2018|#SISMO ID: igepn2018vkxo Revisado 2018-11-01 14:31:50 TL Magnitud:3.91 Profundidad: 10.00 km, a 15.68km de Santa Elena,Santa Elena,Latitud: -2.0662 Longitud:-80.4833 Sintio este sismo? Reportelo! en https://t.co/9LvhHtAvUG https://t.co/qxawRV3VWQ
Thu Nov 01 14:35:05 COT 2018|#SISMO ID: igepn2018vkxo Preliminar 2018-11-01 14:31:50 TL Magnitud:4.11 Profundidad: 10.00 km, a 12.25km de Santa Elena,Santa Elena,Latitud: -2.0917 Longitud:-80.5016 Sintio este sismo? Reportelo! en https://t.co/9LvhHtAvUG https://t.co/kzqj2JZVSZ
Thu Nov 01 04:44:45 COT 2018|#SISMO ID: igepn2018vkbj Revisado 2018-11-01 03:17:38 TL Magnitud:4.23 Profundidad: 3.48 km, a 21.64km de San Lorenzo,Esmeraldas,Latitud: 1.0862 Longitud:-78.7785 Sintio este sismo? Reportelo! en https://t.co/22wo9Kkbbv https://t.co/eegLYR3N89
Thu Nov 01 03:19:37 COT 2018|#SISMO ID: igepn2018vkbj Preliminar 2018-11-01 03:17:38 TL Magnitud:4.28 Profundidad: 10.00 km, a 14.70km de San Lorenzo,Esmeraldas,Latitud: 1.1597 Longitud:-78.7702 Sintio este sismo? Reportelo! en https://t.co/22wo9Kkbbv https://t.co/esrZdvxscx
Tue Oct 30 07:29:35 COT 2018|#SISMO ID: igepn2018vgsm Revisado 2018-10-30 07:24:00 TL Magnitud:3.93 Profundidad: 80.46 km, a 16.32km de Cumanda,Chimborazo,Latitud: -2.2537 Longitud:-78.9971 Sintio este sismo? Reportelo! en https://t.co/zBeHawMZ1h https://t.co/WoVlDl0o4d
Tue Oct 30 07:26:06 COT 2018|#SISMO ID: igepn2018vgsm Preliminar 2018-10-30 07:24:00 TL Magnitud:4.26 Profundidad: 69.23 km, a 17.42km de Cumanda,Chimborazo,Latitud: -2.2663 Longitud:-78.9913 Sintio este sismo? Reportelo! en https://t.co/zBeHawMZ1h https://t.co/0Ub3UdrSqA
Mon Oct 29 07:26:49 COT 2018|#SISMO ID: igepn2018veww Revisado 2018-10-29 07:20:49 TL Magnitud:4.98 Profundidad: 19.15 km, a 46.22km de Huaquillas,El Oro,Latitud: -3.7357 Longitud:-80.5479 Sintio este sismo? Reportelo! en https://t.co/CyMhAxqEES https://t.co/OjRZcMbYbv
Mon Oct 29 07:24:27 COT 2018|#SISMO ID: igepn2018veww Preliminar 2018-10-29 07:20:49 TL Magnitud:4.98 Profundidad: 10.00 km, a 40.91km de Huaquillas,El Oro,Latitud: -3.7465 Longitud:-80.4727 Sintio este sismo? Reportelo! en https://t.co/CyMhAxqEES https://t.co/nwRqf0w6N0
Fri Oct 26 04:17:40 COT 2018|#SISMO ID: igepn2018uzed Revisado 2018-10-26 04:11:52 TL Magnitud:4.17 Profundidad: 174.03 km, a 13.01km de Puyo,Pastaza,Latitud: -1.5776 Longitud:-78.0825 Sintio este sismo? Reportelo! en https://t.co/xpJwiNKcth https://t.co/X7XUHXkEkG
